Channel,Watch time(Minutes),Stream time(minutes),Peak viewers,Average viewers,Followers,Followers gained,Views gained,Partnered,Mature,Language,Giveaways
EmadGG,487281450,132630,67732,2741,702744,623391,9556065,TRUE,FALSE,English,TRUE
쌍베 (pacific8815),483895050,120435,20936,3992,171858,54326,14452008,TRUE,FALSE,Korean,TRUE
FolagorLives,482387190,79995,57813,5032,786983,417899,9640983,TRUE,FALSE,Spanish,TRUE
lilypichu,477949200,56280,33075,8407,1363222,657630,14729189,TRUE,FALSE,English,TRUE
mistermv,476597370,71655,39961,6627,479900,150486,12959273,TRUE,TRUE,French,TRUE
Bonjwa,473157810,251250,11063,1802,123954,20250,14247514,TRUE,FALSE,German,TRUE
KingGeorge,472786395,160140,12621,2914,767727,250434,6445996,TRUE,FALSE,English,TRUE
KingRichard,472405995,137175,17327,3312,1536757,109795,9570639,TRUE,FALSE,English,TRUE
melharucos,468792120,130275,13825,3519,328473,59167,17845821,TRUE,TRUE,Russian,TRUE
INSCOPE21TV,468467130,59925,51244,7554,658658,491663,10630158,TRUE,TRUE,German,TRUE
JohnPitterTV,461605275,508965,4148,900,286184,211365,19054606,TRUE,FALSE,Portuguese,TRUE
Zizaran,460519830,156195,20745,2552,267004,47149,16917944,TRUE,FALSE,English,TRUE
imls,460332570,78945,32758,5621,392024,177673,8610645,TRUE,FALSE,English,TRUE
TSM_ImperialHal,459076530,120975,23107,3550,302593,287810,8907366,TRUE,FALSE,English,TRUE
악어 (jdm2088),458883255,32625,65622,15405,276488,132821,5377506,TRUE,FALSE,Korean,TRUE
Ramee,457242510,159825,10845,2825,132642,74094,6606894,TRUE,FALSE,English,TRUE
Towelliee,453487500,183090,15495,2392,705098,21398,17009119,TRUE,FALSE,English,TRUE
SPYGEA,452479680,143730,17228,3131,222046,92067,10569192,TRUE,FALSE,Japanese,TRUE
FollowGrubby,451910415,132015,15296,3365,430649,46282,12249560,TRUE,FALSE,English,TRUE
Amar,449223195,100800,45549,4207,604374,281928,11787544,TRUE,FALSE,German,TRUE
mch_AGG,443328990,499575,11191,884,219431,124548,11142208,TRUE,TRUE,Portuguese,TRUE
IWillDominate,442870530,93480,23813,4591,797244,79514,8695968,TRUE,FALSE,English,TRUE
Nadeshot,440331540,50175,40327,7985,1472104,428800,7844647,TRUE,TRUE,English,TRUE
buddha,438460680,135090,11971,3184,247303,24901,6326808,TRUE,TRUE,English,TRUE
Deadlyslob,438143850,119085,104568,3088,315637,130944,6321235,TRUE,FALSE,English,TRUE
懶貓 (failverde),437353350,184845,14610,2348,169973,29861,13001718,TRUE,FALSE,Chinese,TRUE
嬌兔 (zrush),436243530,137910,10628,3084,180412,49296,13297850,TRUE,TRUE,Chinese,TRUE
HoneyMad,434971635,67995,21369,6394,533250,74407,14755893,TRUE,TRUE,Russian,TRUE
ESAMarathon,433329345,301395,22132,1460,244440,35038,32500708,TRUE,FALSE,English,TRUE
Nmplol,429213420,63870,24687,6767,455444,130564,8859183,TRUE,FALSE,English,TRUE
relaxing234,428279160,51180,19194,8405,258402,88247,12225523,TRUE,FALSE,Chinese,TRUE
Doigby,428267280,59655,93577,6829,1068260,611786,11805401,TRUE,FALSE,French,TRUE
Sequisha,426325350,163530,19755,2540,252495,86220,7404102,TRUE,TRUE,English,TRUE
HusKerrs,425044665,107610,39433,3247,361360,288952,6298662,TRUE,FALSE,English,TRUE
얍얍 (yapyap30),422278350,46800,36933,9306,301033,26768,9798569,TRUE,FALSE,Korean,TRUE
Elwind,421436625,58965,18270,7165,703464,200170,14369324,TRUE,FALSE,Turkish,TRUE
Shiphtur,420316860,118410,19688,3414,709343,58604,7906425,TRUE,FALSE,English,TRUE
BarbarousKing,419187600,188895,13419,2244,159402,42931,4822422,TRUE,TRUE,English,TRUE
alexelcapo,418413015,72930,74670,5772,680023,211908,13364167,TRUE,FALSE,Spanish,TRUE
moistcr1tikal,415091820,103170,42135,3977,1166681,724159,7780736,TRUE,FALSE,English,TRUE
Rush,412717875,86265,15405,4731,542991,120906,7575905,TRUE,FALSE,English,TRUE
LosPollosTV,411900525,69900,54323,5671,476096,138468,6201733,TRUE,FALSE,English,TRUE
DreamLeague,411414600,244560,147514,1751,349054,61032,7424007,TRUE,FALSE,English,TRUE
Voyboy,411274050,80670,21187,4632,1251182,139443,8151140,TRUE,FALSE,English,TRUE
BastiGHG,410621295,144135,10455,2733,507730,236118,8093220,TRUE,FALSE,German,TRUE
DatModz,409985220,228615,14288,1753,270720,36757,9812812,TRUE,FALSE,English,TRUE
dafran,408885990,92565,19611,4319,599036,142689,7944645,TRUE,FALSE,English,TRUE
yeTz,408478725,87990,21212,4221,849972,281059,10731565,TRUE,FALSE,Portuguese,TRUE
Aurateur,407829960,163815,15547,2492,142427,26782,4368785,TRUE,TRUE,English,TRUE
pokelawls,407214675,118335,22496,3352,668807,182123,5999354,TRUE,FALSE,English,TRUE
ziGueira,407188275,117555,36519,3203,529814,212042,7967420,TRUE,FALSE,Portuguese,TRUE
A_Seagull,407156655,95160,28779,4193,1028544,55228,7374161,TRUE,TRUE,English,TRUE
koil,403848390,145035,13421,2791,299033,50231,7743238,TRUE,TRUE,English,TRUE
PAGO3,402836460,156135,20284,2326,425072,150470,12693893,TRUE,FALSE,Polish,TRUE
Llobeti4,402468465,112545,37469,3410,648084,606080,9957496,TRUE,FALSE,Spanish,TRUE
殺梗 (xargon0731),401439255,155325,8406,2549,283232,16999,17013239,TRUE,FALSE,Chinese,TRUE
itsHafu,400822020,123375,34345,3276,787371,36756,10008765,TRUE,FALSE,English,TRUE
